摘要代码,摘要描述
100,批量代发
1128,支付手续费
1531,网络ATM取款
1106,现金支取
1503,ATM取款
1507,消费
1109,转帐存入
1110,转帐支取
1105,现金存入
1501,ATM存款
1514,ATM转帐
118,手续费
1,备用金
48,实金提取出售黄金
1540,税后利息
128,销户
1529,人民币卡消费款
1823,消费退货
1552,异地压单存款
123,收回贷款本息
1130,冲正
342,结汇
103,货款
5000,其他
201,错帐调整
6626,跨行转入
132,账户管理费
1536,工本费
1508,异地POS消费
1558,ATM特约取款办理
1600,司法扣划
1580,境外POS消费
343,售汇
105,工程款
162,会员入金
101,划款
6618,ATM转出
6614,跨行还款
111,修理费
164,会员出金
9,劳务费
107,运杂费
1548,还款
11,差旅费
2,工资/奖金
6000,汇出境外
120,税款
1524,电子汇入
500,转入商城
1545,查询费
1583,人民币购汇
1559,ATM特约取款撤销
51,代保管回购黄金
803,财政划拨
1591,电子现金圈存
49,代保管出售黄金
114,预付款
1101,还透支息
104,材料费
1542,住房还贷
25,话费
108,退款
1138,代发工资
21,水费
24,保险费
1525,电子汇出
506,退款
